DIRECTORIO;TIP_FOR;P1;P1S1;P2;P2S1;P5;CTL_1;P8R;P9;P10R;P11R;P12;P13;P15R;P16S1;P16S2;P16S3;P16S4;P16S5;P16S6;P16S7;P16S8;P16S9;P17;P17S1;P17S2;P17S3;P17S4;P17S5;P17S6;P17S7;P17S8;P17S9;P17S10;P18;P19;P20;P20S1;P20S2;P20S3;P20S4;P20S5;P20S1A1;P20S2A1;P20S3A1;P20S4A1;P20S5A1;P21R;P22;P23;P23S1R;P23S2R;P24;P25;P26;P26S1;P26S2;P26S3;P26S4;P26S5;P26S6;P26_1;P26_2S1;P26_2S2;P26_2S3;P26_2S4;P26_2S5;P26_2S6;P26_2S7;P26_2S8;P27;P28R;P29;P30;P30S1;P30S2;P30S3;P30S4;P30S5;P30S6;P30S7;P30S8;P30S9;P30S1A1;P30S2A1;P30S3A1;P30S4A1;P30S5A1;P30S6A1;P30S7A1;P30S8A1;P30S9A1;P30_1;P30_2;P31;P32;P32S1;P32S2;P32S3;P32S4;P32S5;P32S6;P32S7;P32S8;P33;P33S1;P33S2;P33S3;P33S4;P33S5;P33S6;P33_1;P33_2;P33_2S1;P33_2S2;P33_2S3;P33_2S4;P33_2S5;P34;P35;P36R;P37S1;P37S2;P37S3;P37S4;P37S5;P37S6;P37S7;COMPLETA
11;2;41;41524;1; ;1;2; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1;66; ; ; ; ;1; ; ;1
12;2;05;05642;1; ;1;1;35;1;3;1;1;1;6;4;4;4;4;4;4;4;3;4;1; ; ; ; ; ; ; ;1; ; ;3;1; ;2;2;2;2;2; ; ; ; ; ;1;1; ;10;1;1;9; ;2;2;1;2;1;2;3; ;1; ; ; ; ; ; ;1;3;4; ;1;2;1;1;2;1;2;2;2;19; ;19;17; ;19; ; ; ;4;2;1;1; ; ; ; ; ; ; ; ; ;2;2;2;2;1;2;2; ;2;2;2;2;2;5; ; ; ; ; ; ; ; ; ;1
13;2;05;05615;1; ;1;1;68;1;4;1;1;1;6;4;4;4;4;4;4;4;4;4;2; ; ; ; ; ; ; ; ; ; ; ; ; ;2;2;2;2;2; ; ; ; ; ;1;5; ;30;0;8;9; ;2;2;2;2;2;2; ; ; ; ; ; ; ; ; ;2;8;5; ;1;2;2;2;2;2;2;2;2;17; ; ; ; ; ; ; ; ;1; ;2; ; ; ; ; ; ; ; ; ; ;2;2;2;2;2;2;2; ;2;2;2;2;2;1; ; ; ; ; ; ; ; ; ;1
14;2;05;05615;1; ;1;1;50;1;3;2;1;1;6;4;4;4;3;4;4;4;4;4;2; ; ; ; ; ; ; ; ; ; ; ; ; ;2;2;2;2;2; ; ; ; ; ;1;7; ;10;2;2;3; ;2;2;2;2;2;2; ; ; ; ; ; ; ; ; ;1;2;9; ;1;2;2;2;2;2;2;2;2;18; ; ; ; ; ; ; ; ;1; ;2; ; ; ; ; ; ; ; ; ; ;2;2;2;2;2;1;2; ;1;2;2;2;2;1; ; ; ; ; ; ; ; ; ;1
15;2;05;05615;1; ;1;1;25;2;5;3;1;1;6;4;4;4;4;4;4;4;4;4;1; ; ; ; ; ; ; ; ; ;1;11; ; ;2;2;2;2;2; ; ; ; ; ;1;5; ;0;1;4;1; ;1;2;1;1;1;2;1; ; ; ; ; ; ; ;1;1;3;4; ;2;2;2;2;2;2;2;2;2; ; ; ; ; ; ; ; ; ; ; ;2; ; ; ; ; ; ; ; ; ; ;2;2;1;2;1;2;2; ;2;2;2;1;1;1; ; ; ; ; ; ; ; ; ;1
16;2;05;05615;1; ;1;1;63;1;3;1;1;1;6;4;4;3;4;4;4;4;3;2;1; ; ; ; ; ; ; ;1; ; ;11; ; ;2;2;2;2;2; ; ; ; ; ;1;7; ;0;8;7;6; ;2;2;1;2;2;2;3;1; ; ; ; ; ; ; ;1;2;5; ;1;1;2;2;2;2;2;2;2;20;30; ; ; ; ; ; ; ;1; ;2; ; ; ; ; ; ; ; ; ; ;2;2;2;2;2;2;2; ;2;2;2;2;2;1; ; ; ; ; ; ; ; ; ;1
17;2;05;05615;1; ;1;1;27;2;3;2;1;2;6;4;4;3;4;4;4;4;4;4;2; ; ; ; ; ; ; ; ; ; ; ; ; ;2;2;2;2;2; ; ; ; ; ;1;5; ;0;5;4;1; ;2;2;2;2;2;2; ; ; ; ; ; ; ; ; ;1;3;5; ;2;2;2;2;2;2;2;2;2; ; ; ; ; ; ; ; ; ; ; ;2; ; ; ; ; ; ; ; ; ; ;2;2;2;2;2;2;1; ;2;2;2;2;2;1; ; ; ; ; ; ; ; ; ;1
18;2;05;05615;1; ;1;1;58;1;3;2;1;2;6;3;3;2;3;4;3;4;3;4;2; ; ; ; ; ; ; ; ; ; ; ; ; ;1;2;2;2;2;2; ; ; ; ;1;6; ;25;0;9;1; ;2;2;2;2;2;2; ; ; ; ; ; ; ; ; ;1;2;1; ;1;1;2;2;2;2;2;2;2;15;18; ; ; ; ; ; ; ;2; ;2; ; ; ; ; ; ; ; ; ; ;1;2;2;2;1;2;1; ;2;2;2;2;1;1; ; ; ; ; ; ; ; ; ;1
19;2;15;15135;1; ;1;1;43;1;3;1;1;1;6;4;4;4;4;4;2;3;1;1;1; ; ;1; ; ; ; ; ; ; ;1;1; ;2;2;2;2;2; ; ; ; ; ;1;11; ;30;4;6;9; ;1;2;1;1;1;2;3; ;1;1; ; ; ;1;1;2;8;4; ;2;2;2;2;2;2;2;2;2; ; ; ; ; ; ; ; ; ; ; ;2; ; ; ; ; ; ; ; ; ; ;2;2;2;2;2;2;2; ;2;2;2;2;2;4; ; ; ; ; ; ; ; ; ;1
20;2;05;05615;1; ;1;1;45;1;3;3;1;1;6;4;4;4;4;4;4;4;4;4;2; ; ; ; ; ; ; ; ; ; ; ; ; ;2;2;2;2;2; ; ; ; ; ;1;5; ;0;8;4;9; ;2;2;2;2;2;2; ; ; ; ; ; ; ; ; ;1;7;5; ;1;2;2;2;2;2;2;2;2;15; ; ; ; ; ; ; ; ;1; ;2; ; ; ; ; ; ; ; ; ; ;2;2;2;2;2;2;1; ;2;2;2;2;2;1; ; ; ; ; ; ; ; ; ;1
21;2;05;05615;1; ;1;1;41;1;3;2;1;1;6;4;4;3;4;4;4;4;4;4;2; ; ; ; ; ; ; ; ; ; ; ; ; ;2;2;2;2;2; ; ; ; ; ;2;1; ;4;5;7;3; ;1;2;2;2;2;2;1;1; ; ; ; ; ; ; ;1;5;5; ;2;1;1;2;2;2;2;2;2; ;15;15; ; ; ; ; ; ;3; ;1;1; ; ; ; ; ; ; ; ; ;2;2;2;2;2;1;2; ;2;2;2;2;2;1; ; ; ; ; ; ; ; ; ;1
22;2;05;05615;1; ;1;1;75;1;3;1;1;1;6;4;4;4;2;4;3;4;4;4;2; ; ; ; ; ; ; ; ; ; ; ; ; ;2;2;2;2;2; ; ; ; ; ;1;7; ;0;3;7;3; ;2;2;1;2;2;2;3;1; ; ; ; ; ; ; ;1;2;9; ;1;2;2;2;2;2;2;2;2;15; ; ; ; ; ; ; ; ;1; ;1;2; ; ; ; ; ; ; ;1; ;2;2;2;2;2;2;2; ;2;2;2;2;2;1; ; ; ; ; ; ; ; ; ;1
23;2;05;05642;1; ;1;2; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1;62; ; ;1; ; ; ; ;1
24;2;41;41396;1; ;1;1;30;2;3;2;1;1;6;4;4;2;4;4;4;4;4;4;2; ; ; ; ; ; ; ; ; ; ; ; ; ;2;2;2;2;2; ; ; ; ; ;1;1; ;0;6;1;1; ;2;2;2;2;2;2; ; ; ; ; ; ; ; ; ;1;3;1; ;1;2;1;2;2;1;2;2;2;17; ;15; ; ;16; ; ; ;3;3;2; ; ; ; ; ; ; ; ; ; ;2;2;1;2;2;2;2; ;1;2;2;2;2;2; ; ; ; ; ; ; ; ; ;1
25;2;05;05615;1; ;1;1;47;2;3;2;1;1;6;4;4;3;3;4;4;4;4;4;2; ; ; ; ; ; ; ; ; ; ; ; ; ;1;2;2;2;2;2; ; ; ; ;1;5; ;5;0;4;6; ;2;2;2;2;2;2; ; ; ; ; ; ; ; ; ;1;3;5; ;2;2;2;2;2;2;2;2;2; ; ; ; ; ; ; ; ; ; ; ;1;2; ; ; ; ; ; ;1; ; ;2;2;1;2;2;2;1; ;2;2;2;2;2;1; ; ; ; ; ; ; ; ; ;1
26;2;05;05615;1; ;1;1;51;1;3;1;1;1;6;3;4;4;2;2;4;4;4;4;1; ; ; ; ; ; ; ; ; ;1;3;1; ;2;2;2;2;2; ; ; ; ; ;1;1; ;5;0;1;1; ;2;2;1;2;1;2;5; ;1; ; ; ; ; ; ;1;3;1; ;1;1;1;2;2;2;2;2;2;15;16;16; ; ; ; ; ; ;3; ;2; ; ; ; ; ; ; ; ; ; ;2;2;2;2;2;2;2; ;2;2;2;2;2;1; ; ; ; ; ; ; ; ; ;1
27;2;05;05615;1; ;1;1;42;1;3;2;1;1;6;4;4;2;4;4;4;4;4;4;2; ; ; ; ; ; ; ; ; ; ; ; ; ;2;2;2;2;2; ; ; ; ; ;2;7; ;20;0;4;1; ;2;2;2;2;1;2;5; ;1; ; ; ; ; ; ;2;1;1; ;2;2;1;2;2;2;2;2;2; ; ;22; ; ; ; ; ; ;3; ;2; ; ; ; ; ; ; ; ; ; ;2;2;2;2;1;2;1; ;2;2;2;2;2;1; ; ; ; ; ; ; ; ; ;1
28;2;05;05615;1; ;1;1;63;1;3;2;1;1;6;4;4;3;4;4;4;4;4;4;2; ; ; ; ; ; ; ; ; ; ; ; ; ;2;2;2;2;2; ; ; ; ; ;1;5; ;2;5;5;3; ;2;2;1;2;2;2;3;1;1; ; ; ; ; ; ;1;3;1; ;2;1;2;2;2;2;2;2;2; ;15; ; ; ; ; ; ; ;2; ;1;1; ; ; ; ; ; ; ; ; ;2;2;2;2;2;2;2; ;2;2;2;2;2;1; ; ; ; ; ; ; ; ; ;1
29;2;41;41396;1; ;1;2; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;2;38; ; ; ;1; ; ; ;1
30;2;68;68406;1; ;1;1;21;1;3;2;1;1;6;4;4;4;4;4;4;4;4;4;1; ;1; ; ; ; ; ; ; ; ;3;1; ;2;2;2;2;2; ; ; ; ; ;1;11; ;1;0;9;9; ;2;1;2;2;2;2;2; ;1; ; ; ; ; ; ;1;3;1; ;2;2;2;2;2;1;2;2;2; ; ; ; ; ;20; ; ; ;6;3;1;2; ; ; ; ; ; ; ;1; ;2;2;2;1;2;2;2; ;1;2;1;1;1;1; ; ; ; ; ; ; ; ; ;1
31;2;68;68406;1; ;1;2; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1;25;1; ; ; ;1; ; ;1
33;2;68;68406;1; ;1;2; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1;38; ; ; ;1; ; ; ;1
34;2;41;41396;1; ;1;1;21;1;3;2;1;1;6;4;4;4;4;4;4;4;4;4;1; ; ; ; ; ; ; ; ; ; ;1;1; ;2;2;2;2;2; ; ; ; ; ;1;7; ;0;8;7;1; ;2;1;2;2;2;2;2; ;1; ; ; ; ; ; ;1;3;1; ;2;2;1;2;2;1;2;2;2; ; ;19; ; ;18; ; ; ;6;1;1;1; ; ; ; ; ; ; ; ; ;2;2;2;2;1;2;2; ;2;2;2;1;2;1; ; ; ; ; ; ; ; ; ;1
35;2;15;15531;1; ;1;1;62;2;3;1;1;1;6;4;4;3;4;4;4;4;4;4;1; ; ;1; ; ; ; ; ; ; ;11; ; ;2;2;2;2;2; ; ; ; ; ;2;7; ;10;0;2;9; ;2;2;1;2;2;2;3;1;1; ; ; ; ;1; ;1;3;4; ;2;1;2;2;2;2;2;2;2; ;20; ; ; ; ; ; ; ;2; ;1;2; ; ; ; ; ; ;1; ; ;2;2;2;2;2;2;1; ;2;2;2;2;1;5; ; ; ; ; ; ; ; ; ;1
36;2;18;18247;1; ;1;1;46;1;3;1;1;1;6;4;4;3;4;3;3;4;4;3;1; ; ; ; ; ; ; ;1; ; ;10; ; ;2;2;2;2;2; ; ; ; ; ;1;1; ;12;3;1;1; ;2;1;2;2;2;2;2;1;1; ; ; ; ; ; ;1;2;4; ;1;2;2;2;2;1;2;2;2;17; ; ; ; ;17; ; ; ;6;2;2; ; ; ; ; ; ; ; ; ; ;2;2;2;2;2;2;1; ;1;2;2;2;2;1; ; ; ; ; ; ; ; ; ;1
37;2;68;68406;1; ;1;1;75;1;3;2;1;2;6;4;4;4;4;4;1;4;3;4;2; ; ; ; ; ; ; ; ; ; ; ; ; ;2;2;2;2;2; ; ; ; ; ;1;5; ;5;0;4;9; ;2;1;2;2;2;1;6;1;1; ; ; ; ; ; ;1;3;4; ;2;2;2;2;2;2;2;2;2; ; ; ; ; ; ; ; ; ; ; ;1;2; ; ; ; ; ;1; ; ; ;2;2;2;2;2;1;2; ;2;2;2;1;1;1; ; ; ; ; ; ; ; ; ;1
38;2;68;68679;1; ;1;2; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1;37; ; ;1;1; ; ; ;1
39;2;68;68679;1; ;1;2; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1;36; ; ;1;1; ; ; ;1
40;2;41;41396;1; ;1;1;30;1;3;1;1;1;6;4;4;4;4;4;4;4;4;4;2; ; ; ; ; ; ; ; ; ; ; ; ; ;2;2;2;2;2; ; ; ; ; ;1;1; ;5;0;1;1; ;1;2;2;2;2;2;1;1;1; ; ; ; ; ; ;1;3;1; ;1;1;1;2;2;1;2;2;2;17;17;23; ; ;25; ; ; ;6;2;2; ; ; ; ; ; ; ; ; ; ;2;2;2;2;1;2;1; ;1;2;2;1;1;1; ; ; ; ; ; ; ; ; ;1
41;2;68;68406;1; ;1;1;25;1;3;1;1;1;6;4;4;4;4;4;4;4;4;4;2; ; ; ; ; ; ; ; ; ; ; ; ; ;2;2;2;2;2; ; ; ; ; ;1;11; ;6;0;9;1; ;1;1;2;2;2;2;2;1;1; ; ; ; ; ; ;1;3;4; ;1;2;1;2;2;1;2;2;2;15; ;15; ; ;18; ; ; ;6;2;2; ; ; ; ; ; ; ; ; ; ;1;2;1;1;2;2;2; ;1;2;1;2;1;1; ; ; ; ; ; ; ; ; ;1
42;2;68;68679;1; ;1;2; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1;35;1; ;1;1; ; ; ;1
43;2;68;68406;1; ;1;2; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1;22; ; ; ;1; ; ; ;1
44;2;68;68406;1; ;1;2; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1;55; ; ;1; ;1; ; ;1
45;2;41;41396;1; ;1;1;42;1;3;1;1;1;6;4;4;4;4;4;3;3;4;4;1; ;1; ; ; ; ; ; ; ; ;3;1; ;2;2;2;2;2; ; ; ; ; ;1;1; ;15;0;1;8; ;2;1;2;2;2;2;2; ;1; ;1; ; ; ; ;1;3;9; ;1;2;1;2;2;2;2;2;2;15; ;20; ; ; ; ; ; ;3; ;1;1; ; ; ; ; ; ; ; ; ;2;2;2;2;2;1;1; ;1;1;1;2;2;1; ; ; ; ; ; ; ; ; ;1
47;2;41;41396;1; ;1;2; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1;17;1; ; ; ; ; ; ;1
48;2;41;41396;1; ;1;1;26;1;3;2;1;1;6;4;4;4;3;4;3;3;3;3;2; ; ; ; ; ; ; ; ; ; ; ; ; ;2;2;2;2;2; ; ; ; ; ;2;1; ;0;5;1;1; ;1;2;2;2;2;2;1;1; ; ; ; ; ; ; ;1;4;1; ;1;1;1;2;2;1;2;2;2;15;15;15; ; ;25; ; ; ;6;1;1;2;1; ; ; ; ; ; ; ; ;2;2;2;2;2;2;2; ;2;2;2;2;2;3; ; ; ; ; ; ; ; ; ;1
98;2;41;41396;1; ;1;1;39;2;3;2;1;1;6;4;4;3;4;4;3;4;4;4;1;1; ;1;1; ; ; ; ; ; ;3;1; ;2;2;2;2;2; ; ; ; ; ;2;1; ;8;8;1;9; ;2;2;2;2;2;1;6; ;1; ; ; ; ; ; ;1;2;5; ;1;1;1;1;1;1;2;2;2;28;28;27;15;15;28; ; ; ;6;4;1;1; ; ; ; ; ; ; ; ; ;1;2;2;2;2;2;1; ;1;2;1;2;2;2; ; ; ; ; ; ; ; ; ;1
99;2;41;41396;1; ;1;2; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1;52; ; ;1;1;1; ; ;1
